region_code,region_name,division_code,division_name,state_abbr,state_code,state_name,year,age_group,race,popestimate
2,Midwest,3,East North Central,IN,18,Indiana,2018,1,4,27349
2,Midwest,3,East North Central,IN,18,Indiana,2019,5,4,12880
2,Midwest,3,East North Central,IN,18,Indiana,2019,3,2,82696
2,Midwest,3,East North Central,IN,18,Indiana,2019,6,2,67993
2,Midwest,3,East North Central,IN,18,Indiana,2017,2,2,95563
2,Midwest,3,East North Central,IN,18,Indiana,2019,2,1,667096
2,Midwest,3,East North Central,IN,18,Indiana,2017,5,4,11022
2,Midwest,3,East North Central,IN,18,Indiana,2017,3,3,1800
2,Midwest,3,East North Central,IN,18,Indiana,2017,1,6,17584
2,Midwest,3,East North Central,IN,18,Indiana,2017,5,6,5470
2,Midwest,3,East North Central,IN,18,Indiana,2017,2,7,67593
2,Midwest,3,East North Central,IN,18,Indiana,2018,4,7,48669
2,Midwest,3,East North Central,IN,18,Indiana,2019,1,3,1447
2,Midwest,3,East North Central,IN,18,Indiana,2017,1,7,55471
2,Midwest,3,East North Central,IN,18,Indiana,2019,2,4,30813
2,Midwest,3,East North Central,IN,18,Indiana,2019,3,4,28334
2,Midwest,3,East North Central,IN,18,Indiana,2018,2,1,663356
2,Midwest,3,East North Central,IN,18,Indiana,2017,1,1,485972
2,Midwest,3,East North Central,IN,18,Indiana,2018,6,5,212
2,Midwest,3,East North Central,IN,18,Indiana,2019,6,6,6034
2,Midwest,3,East North Central,IN,18,Indiana,2018,3,5,390
2,Midwest,3,East North Central,IN,18,Indiana,2018,5,2,69921
2,Midwest,3,East North Central,IN,18,Indiana,2019,1,1,479496
2,Midwest,3,East North Central,IN,18,Indiana,2018,3,1,632098
2,Midwest,3,East North Central,IN,18,Indiana,2018,5,1,753302
2,Midwest,3,East North Central,IN,18,Indiana,2017,6,3,2213
2,Midwest,3,East North Central,IN,18,Indiana,2018,5,6,5650
2,Midwest,3,East North Central,IN,18,Indiana,2019,3,7,71815
2,Midwest,3,East North Central,IN,18,Indiana,2018,6,6,5704
2,Midwest,3,East North Central,IN,18,Indiana,2019,2,6,16241
2,Midwest,3,East North Central,IN,18,Indiana,2019,6,1,972996
2,Midwest,3,East North Central,IN,18,Indiana,2019,4,1,669557
2,Midwest,3,East North Central,IN,18,Indiana,2017,6,4,10074
2,Midwest,3,East North Central,IN,18,Indiana,2017,5,7,27895
2,Midwest,3,East North Central,IN,18,Indiana,2018,2,6,15024
2,Midwest,3,East North Central,IN,18,Indiana,2019,4,3,2076
2,Midwest,3,East North Central,IN,18,Indiana,2017,6,7,20947
2,Midwest,3,East North Central,IN,18,Indiana,2017,4,3,2249
2,Midwest,3,East North Central,IN,18,Indiana,2017,4,5,295
2,Midwest,3,East North Central,IN,18,Indiana,2018,3,7,70696
2,Midwest,3,East North Central,IN,18,Indiana,2018,5,5,238
2,Midwest,4,West North Central,IA,19,Iowa,2017,2,2,20403
2,Midwest,4,West North Central,IA,19,Iowa,2019,1,3,1086
2,Midwest,4,West North Central,IA,19,Iowa,2018,3,3,1182
2,Midwest,4,West North Central,IA,19,Iowa,2019,1,4,13479
2,Midwest,4,West North Central,IA,19,Iowa,2018,3,2,15840
2,Midwest,4,West North Central,IA,19,Iowa,2018,5,7,10854
2,Midwest,4,West North Central,IA,19,Iowa,2018,3,6,3717
2,Midwest,4,West North Central,IA,19,Iowa,2017,5,3,1061
2,Midwest,4,West North Central,IA,19,Iowa,2017,1,7,24738
2,Midwest,4,West North Central,IA,19,Iowa,2018,3,5,652
2,Midwest,4,West North Central,IA,19,Iowa,2017,3,6,3601
2,Midwest,4,West North Central,IA,19,Iowa,2017,6,5,137
2,Midwest,4,West North Central,IA,19,Iowa,2017,2,7,29229
2,Midwest,4,West North Central,IA,19,Iowa,2018,2,4,16660
2,Midwest,4,West North Central,IA,19,Iowa,2017,4,1,338597
2,Midwest,4,West North Central,IA,19,Iowa,2019,3,7,26878
2,Midwest,4,West North Central,IA,19,Iowa,2017,6,6,1702
2,Midwest,4,West North Central,IA,19,Iowa,2019,3,2,16577
2,Midwest,4,West North Central,IA,19,Iowa,2018,5,3,1046
2,Midwest,4,West North Central,IA,19,Iowa,2018,5,6,1939
2,Midwest,4,West North Central,IA,19,Iowa,2017,2,6,5702
2,Midwest,4,West North Central,IA,19,Iowa,2018,6,5,152
2,Midwest,4,West North Central,IA,19,Iowa,2017,4,6,2447
2,Midwest,4,West North Central,IA,19,Iowa,2017,3,4,12631
2,Midwest,4,West North Central,IA,19,Iowa,2019,4,7,19355
2,Midwest,4,West North Central,IA,19,Iowa,2018,1,5,416
2,Midwest,4,West North Central,IA,19,Iowa,2019,2,5,857
2,Midwest,4,West North Central,IA,19,Iowa,2018,2,7,29960
2,Midwest,4,West North Central,IA,19,Iowa,2019,1,6,8643
2,Midwest,4,West North Central,IA,19,Iowa,2019,4,2,11902
2,Midwest,4,West North Central,IA,19,Iowa,2017,3,5,572
2,Midwest,4,West North Central,IA,19,Iowa,2019,3,3,1220
2,Midwest,4,West North Central,IA,19,Iowa,2018,5,4,5478
